id,ConceptA,ConceptB_Pre,prerequisite,Substituido,
576,Mathematical_optimization,Mathematical_model,1,N,
577,Memory_management,Array_data_structure,1,N,
578,Calculus,Arithmetic,1,N,
579,Parallel_algorithm,Parallel_computing,1,N,
580,Personal_computer,Computer,1,N,
581,Quantum_mechanics,Probability,1,N,
582,Parallel_computing,Lock_(computer_science),1,N,
583,Time_complexity,Computational_complexity_theory,1,N,
584,Discrete_mathematics,Algebra,1,N,
585,Ordinary_differential_equation,Numerical_analysis,1,N,
586,Computer_vision,Computer_science,1,N,
587,Computational_complexity_theory,Theory_of_computation,1,N,
588,Lisp_(programming_language),Functional_programming,1,N,
589,Computer_architecture,Computer_science,1,N,
590,Parametric_polymorphism,Programming_language,1,N,
591,Game_theory,Mathematical_optimization,1,N,
592,Computational_geometry,Computer_graphics,1,N,
593,Pushdown_automaton,Automata_theory,1,N,
594,Poisson_distribution,Probability_theory,1,N,
595,Server_(computing),Computer,1,N,
596,Query_optimization,Database,1,N,
597,Transaction_processing,Computer_science,1,N,
598,JavaScript,World_Wide_Web,1,N,
599,Java_(programming_language),Object-oriented_programming,1,N,
600,System_programming,Operating_system,1,N,
601,Theoretical_computer_science,Mathematics,1,N,
602,MapReduce,Parallel_computing,1,N,
603,Artificial_intelligence,Programming_language,1,N,
604,Algorithm_design,Mathematics,1,N,
605,String_searching_algorithm,Computer_science,1,N,
606,Finite_element_method,Polynomial,1,N,
607,Imperative_programming,Computer,1,N,
608,Information_theory,Random_variable,1,N,
609,Computer_graphics,Algorithm,1,N,
610,Virtual_memory,Computing,1,N,
611,Linear_programming,Mathematical_optimization,1,N,
612,Bayesian_network,Random_variable,1,N,
613,Human–computer_interaction,Interface_(computing),1,N,
614,Pushdown_automaton,Theory_of_computation,1,N,
615,Computer_vision,Artificial_intelligence,1,N,
616,Cryptography,Authentication,1,N,
617,Scalability,Software_design,1,N,
618,Virtual_memory,Memory_hierarchy,1,N,
619,Machine_learning,Mathematical_optimization,1,N,
620,Assembly_language,Computer_science,1,N,
621,Graph_theory,Computational_science,1,N,
622,Parsing,Regular_language,1,N,
623,Quantum_computing,Computational_complexity_theory,1,N,
624,Digital_signature,Algorithm,1,N,
625,Knowledge_representation_and_reasoning,Computer_science,1,N,
626,Finite-state_machine,Logic,1,N,
627,Amortized_analysis,Computer_science,1,N,
628,Monad_(functional_programming),Input/output,1,N,
629,Programming_paradigm,Computational_science,1,N,
630,Parsing,Algorithm_design,1,N,
631,Robotics,Artificial_intelligence,1,N,
632,Database_index,Relational_database,1,N,
633,Microcode,Computer,1,N,
634,Halting_problem,Theory_of_computation,1,N,
635,Computability,Computer_science,1,N,
636,Formal_verification,Computer_science,1,N,
637,Inheritance_(object-oriented_programming),Programming_language,1,N,
638,Computer_architecture,Computer,1,N,
639,Turing_machine,Mathematics,1,N,
640,Distributed_computing,Computational_complexity_theory,1,N,
641,Lexical_analysis,Regular_language,1,N,
642,Routing,OSI_model,1,N,
643,Public-key_cryptography,Discrete_mathematics,1,N,
644,Instruction_set,Computer,1,N,
645,Design_of_experiments,Statistical_hypothesis_testing,1,N,
646,Web_server,Operating_system,1,N,
647,Machine_learning,Computer_science,1,N,
648,Robotics,Computer_programming,1,N,
649,Software_development,Computer_programming,1,N,
650,Partial_differential_equation,Differential_equation,1,N,
651,Imperative_programming,Higher-order_function,1,N,
652,Software_engineering,Theory_of_computation,1,N,
653,Machine_learning,Probability_theory,1,N,
654,Network_congestion,Computer_network,1,N,
655,Robotics,Kinematics,1,N,
656,Query_optimization,Database,1,N,
657,Scheduling_(computing),Computing,1,N,
658,Boundary_value_problem,Partial_differential_equation,1,N,
659,Computer_graphics,Personal_computer,1,N,
660,Statistics,Randomness,1,N,
661,Software_engineering,Algorithm,1,N,
662,Operating_system,Input/output,1,N,
663,Computer_programming,Computational_complexity_theory,1,N,
664,Recursion,Logic,1,N,
665,PSPACE,Computational_complexity_theory,1,N,
666,Artificial_intelligence,Computational_complexity_theory,1,N,
667,Model_checking,Algorithm,1,N,
668,Pattern_matching,String_(computer_science),1,N,
669,Public-key_cryptography,Algorithm,1,N,
670,Compiler,Parsing,1,N,
671,Syntax,Natural_language,1,N,
672,Semantics,Syntax,1,N,
673,Natural_language_processing,Artificial_intelligence,1,N,
674,Internet,Computer_network,1,N,
675,Natural_language_processing,Graph_theory,1,N,
676,Imperative_programming,Computer_science,1,N,
677,Graphics_processing_unit,Computer_graphics,1,N,
678,Database,Operating_system,1,N,
679,Halting_problem,Turing_machine,1,N,
680,Analysis_of_algorithms,Computation,1,N,
681,Mathematical_optimization,Random_variable,1,N,
682,Message_Passing_Interface,Synchronization,1,N,
683,Denotational_semantics,Programming_language,1,N,
684,Artificial_intelligence,Computer_programming,1,N,
685,Bayesian_probability,Conditional_probability,1,N,
686,Relational_database,Relational_algebra,1,N,
687,Query_optimization,Relational_database,1,N,
688,Internet,OSI_model,1,N,
689,Turing_machine,Theory_of_computation,1,N,
690,Microcode,Assembly_language,1,N,
691,Natural_language_processing,Machine_learning,1,N,
692,Multi-core_processor,Vector_processor,1,N,
693,Formal_language,Computer_science,1,N,
694,Object-oriented_programming,Data,1,N,
695,Distributed_computing,Mutual_exclusion,1,N,
696,Robotics,Computer_science,1,N,
697,Decision_theory,Statistical_hypothesis_testing,1,N,
698,Prolog,String_(computer_science),1,N,
699,Algorithm_design,Analysis_of_algorithms,1,N,
700,Formal_methods,Analysis_of_algorithms,1,N,
701,Haskell_(programming_language),Scope_(computer_science),1,N,
702,Graphical_user_interface,Computer_science,1,N,
703,User_interface,Computer,1,N,
704,Bayesian_probability,Probability,1,N,
705,Symmetric_multiprocessing,Concurrency_(computer_science),1,N,
706,Algorithm_design,Algorithm,1,N,
707,Computer_graphics,Data,1,N,
708,Artificial_intelligence,Graph_theory,1,N,
709,Robotics,Speech_recognition,1,N,
710,Computer_vision,Mathematical_optimization,1,N,
711,Hidden_Markov_model,Probability,1,N,
712,Pattern_recognition,Computer_science,1,N,
713,Modular_arithmetic,Discrete_mathematics,1,N,
714,Time_complexity,Turing_machine,1,N,
715,Variable_(computer_science),Computer_programming,1,N,
716,Procedural_programming,Computer_science,1,N,
717,Interpolation,Mathematics,1,N,
718,Coding_theory,Theoretical_computer_science,1,N,
719,Theoretical_computer_science,Computer_science,1,N,
720,Analysis_of_algorithms,Introduction_to_Algorithms,1,N,
721,Computer_animation,Rendering_(computer_graphics),1,N,
722,Parsing,Programming_language,1,N,
723,Quantum_cryptography,Cryptography,1,N,
724,World_Wide_Web,Computer,1,N,
725,Gradient_descent,Algorithm,1,N,
726,Linear_algebra,Matrix_(mathematics),1,N,
727,Concurrency_(computer_science),Computer_science,1,N,
728,Programming_language,Computer_science,1,N,
729,Computer_animation,Computer_graphics,1,N,
730,Bayesian_probability,Random_variable,1,N,
731,Cryptanalysis,Information_security,1,N,
732,Linked_list,Computer_science,1,N,
733,Algorithm,Computer_science,1,N,
734,Support_vector_machine,Algorithm,1,N,
735,Polynomial,Mathematics,1,N,
736,Partial_differential_equation,Numerical_analysis,1,N,
737,Database,Algorithm_design,1,N,
738,Analysis_of_algorithms,Mathematics,1,N,
739,Analysis_of_algorithms,Graph_theory,1,N,
740,Database_index,Computer_science,1,N,
741,Turing_machine,Finite-state_machine,1,N,
742,Ordinary_differential_equation,Mathematics,1,N,
743,Linear_programming,Matrix_(mathematics),1,N,
744,Parsing,Natural_language,1,N,
745,Functional_programming,Recursion_(computer_science),1,N,
746,Scripting_language,Computer,1,N,
747,Numerical_analysis,Polynomial,1,N,
748,Tensor,Mathematics,1,N,
749,SQL,Computer_programming,1,N,
750,Object-oriented_programming,Structured_programming,1,N,
751,Functional_programming,Generic_programming,1,N,
752,Interactivity,Computer_science,1,N,
753,Database,Database_transaction,1,N,
754,Cryptographic_hash_function,Information_security,1,N,
755,Database,Computer,1,N,
756,Randomized_algorithm,Conditional_probability,1,N,
757,Statistics,Data,1,N,
758,Entropy,Probability,1,N,
759,Combinatorics,Algebra,1,N,
760,Computational_complexity_theory,Algorithm,1,N,
761,Calculus_of_variations,Continuous_function,1,N,
762,Finite_difference,Polynomial,1,N,
763,Speech_recognition,Artificial_intelligence,1,N,
764,Computer_science,Graph_theory,1,N,
765,Perl,Computer,1,N,
766,Firewall_(computing),Computer_security,1,N,
767,Artificial_intelligence,Algorithm,1,N,
768,Very_long_instruction_word,Computer_architecture,1,N,
769,Database_design,Relational_database,1,N,
770,Software_framework,Computer_programming,1,N,
771,Inter-process_communication,Operating_system,1,N,
772,Sequence_alignment,Probability,1,N,
773,Logic_programming,Computer_programming,1,N,
774,Machine_learning,Computer_programming,1,N,
775,Pushdown_automaton,Finite-state_machine,1,N,
776,Java_(programming_language),Programming_language,1,N,
777,Software_testing,Computer_programming,1,N,
778,Flow_network,Introduction_to_Algorithms,1,N,
779,Abstract_data_type,Integer,1,N,
780,Computational_geometry,Computer,1,N,
781,Inheritance_(object-oriented_programming),Object_(computer_science),1,N,
782,Data_mining,Programming_language,1,N,
783,Embedded_system,Computer,1,N,
784,Analysis_of_algorithms,Computer_science,1,N,
785,Software_design,Computer_programming,1,N,
786,Martingale_(probability_theory),Random_variable,1,N,
787,Array_data_structure,Data_structure,1,N,
788,Motion_capture,Computer_graphics,1,N,
789,Feature_extraction,Algorithm,1,N,
790,Statistical_inference,Probability,1,N,
791,Transaction_processing,Concurrency_control,1,N,
792,Computational_complexity_theory,Polynomial,1,N,
793,Linear_algebra,Polynomial,1,N,
794,Markov_process,Conditional_probability,1,N,
795,Question_answering,Artificial_intelligence,1,N,
796,Formal_methods,Computer_programming,1,N,
797,Web_server,Computer,1,N,
798,Rendering_(computer_graphics),Computer,1,N,
799,Estimation_theory,Statistical_inference,1,N,
800,Computer_animation,Image,1,N,
801,Transaction_processing,Computer_programming,1,N,
802,Visualization_(graphics),Geometry,1,N,
803,Statistics,Mathematics,1,N,
804,Markov_process,Probability_theory,1,N,
805,High-level_programming_language,Computer,1,N,
806,Control_flow,Scope_(computer_science),1,N,
807,Artificial_intelligence,Mathematics,1,N,
808,Multi-core_processor,Central_processing_unit,1,N,
809,Database,Relational_algebra,1,N,
810,Computer_simulation,Computer_science,1,N,
811,Undecidable_problem,Mathematical_proof,1,N,
812,Robotics,Mechanical_engineering,1,N,
813,Input/output,Computer,1,N,
814,Instruction_set,Computer_architecture,1,N,
815,Mathematical_optimization,Arithmetic,1,N,
816,Fast_Fourier_transform,Algorithm,1,N,
817,Cryptanalysis,Modular_arithmetic,1,N,
818,Mathematics,Foundations_of_mathematics,1,N,
819,Mathematical_model,Integer,1,N,
820,Part-of-speech_tagging,Natural_language,1,N,
821,Python_(programming_language),Imperative_programming,1,N,
822,Scope_(computer_science),Variable_(computer_science),1,N,
823,Cryptography,Computational_complexity_theory,1,N,
824,Newton's_method,Mathematical_optimization,1,N,
825,Statistical_hypothesis_testing,Probability,1,N,
826,Stochastic_process,Probability_theory,1,N,
827,Machine_learning,Statistics,1,N,
828,Software_development,Computer_science,1,N,
829,Ray_tracing_(graphics),Computational_geometry,1,N,
830,Parametric_polymorphism,Variable_(computer_science),1,N,
831,Fixed_point_(mathematics),Mathematics,1,N,
832,Virtual_memory,Computer_architecture,1,N,
833,Computer_science,Logic,1,N,
834,JavaScript,Computer_programming,1,N,
835,Analysis_of_algorithms,Computer_programming,1,N,
836,Software_framework,Control_flow,1,N,
837,Query_optimization,Database_index,1,N,
838,Numerical_analysis,Algorithm,1,N,
839,Data_structure,Data_(computing),1,N,
840,Large_deviations_theory,Random_variable,1,N,
841,Virtual_reality,Interactivity,1,N,
842,CPU_cache,Central_processing_unit,1,N,
843,Artificial_neural_network,Pattern_recognition,1,N,
844,Boundary_value_problem,Nonlinear_system,1,N,
845,Dynamic_programming,Recursion,1,N,
846,Parallel_computing,Computer_programming,1,N,
847,Dynamic_programming,Introduction_to_Algorithms,1,N,
848,Relational_database_management_system,Database,1,N,
849,Message_passing,Computer_science,1,N,
850,Object-oriented_programming,Computer_programming,1,N,
851,Web_service,Computer_network,1,N,
852,C_(programming_language),Arithmetic,1,N,
853,Artificial_neural_network,Artificial_intelligence,1,N,
854,Random_graph,Probability_theory,1,N,
855,Parsing,Lexical_analysis,1,N,
856,Graph_theory,Discrete_mathematics,1,N,
857,Random_walk,Probability_theory,1,N,
858,Prediction,Probability,1,N,
859,Algorithm,Integer,1,N,
860,User_interface_design,User_interface,1,N,
861,Inequality_(mathematics),Integer,1,N,
862,Assembly_language,Instruction_set,1,N,
863,C++,Floating_point,1,N,
864,Context-free_grammar,String_(computer_science),1,N,
865,Programming_style,Computer_programming,1,N,
866,Program_optimization,Algorithm,1,N,
867,Computer_programming,Computational_science,1,N,
868,Graph_theory,Discrete_mathematics,1,N,
869,Database_index,Database,1,N,
870,Approximation_algorithm,Computer_science,1,N,
871,Prolog,Programming_language,1,N,
872,Natural_language_processing,Semantics,1,N,
873,Data_analysis,Problem_solving,1,N,
874,Assembly_language,Computer_programming,1,N,
875,Lisp_(programming_language),Computer_science,1,N,
876,Database,Object_(computer_science),1,N,
877,Fast_Fourier_transform,Signal_processing,1,N,
878,Volume_rendering,Rendering_(computer_graphics),1,N,
879,Finite-state_machine,Automata_theory,1,N,
880,Bayesian_probability,Data,1,N,
881,JavaScript,Computer,1,N,
882,Computer_animation,Ray_tracing_(graphics),1,N,
883,Data_warehouse,Data,1,N,
884,Logic_programming,Computer_science,1,N,
885,Machine_translation,Natural_language,1,N,
886,Relational_database,Analysis_of_algorithms,1,N,
887,Concurrency_control,Computer_programming,1,N,
888,Integral,Mathematics,1,N,
889,Hidden_Markov_model,Machine_learning,1,N,
890,P_versus_NP_problem,Computer_science,1,N,
891,Wavelet,Signal_processing,1,N,
892,Network_security,Computer_network,1,N,
893,Computer_network,Graph_theory,1,N,
894,Machine_learning,Algorithm,1,N,
895,Artificial_intelligence,Computer_science,1,N,
896,Martingale_(probability_theory),Probability_theory,1,N,
897,Monte_Carlo_method,Expected_value,1,N,
898,Inference,Probability,1,N,
899,Graphical_model,Probability_theory,1,N,
900,Deadlock,Computer_multitasking,1,N,
901,Calculus,Mathematics,1,N,
902,ML_(programming_language),Programming_language,1,N,
903,Relational_database_management_system,Relational_model,1,N,
904,Computational_geometry,Mathematics,1,N,
905,Data_mining,Algorithm,1,N,
906,Computer_science,Mathematics,1,N,
907,Cryptographic_hash_function,Cryptography,1,N,
908,Model_of_computation,Computational_complexity_theory,1,N,
909,Theoretical_computer_science,Discrete_mathematics,1,N,
910,Amortized_analysis,Data_structure,1,N,
911,Finite_element_method,Numerical_analysis,1,N,
912,Semidefinite_programming,Linear_programming,1,N,
913,Mathematical_optimization,Mathematics,1,N,
914,Cryptography,Probability_theory,1,N,
915,Debugging,Computer_programming,1,N,
916,Software_testing,Control_flow,1,N,
917,Dynamic_programming,Algorithm_design,1,N,
918,Recommender_system,Machine_learning,1,N,
919,User_interface,Computer_programming,1,N,
920,Exponential_family,Probability_theory,1,N,
921,Dynamic_programming,Mathematics,1,N,
922,Run_time_(program_lifecycle_phase),Computer_science,1,N,
923,Undecidable_problem,Computer_science,1,N,
924,Abstract_data_type,Computer_science,1,N,
925,Expert_system,Artificial_intelligence,1,N,
926,Cryptanalysis,Algorithm,1,N,
927,Time_complexity,Algorithm,1,N,
928,Network_security,Security,1,N,
929,Relational_database,Database,1,N,
930,Artificial_intelligence,Computer,1,N,
931,Relational_model,Object_(computer_science),1,N,
932,Virtual_reality,Computer_graphics,1,N,
933,Parallel_computing,Time_complexity,1,N,
934,File_system,Operating_system,1,N,
935,Motion_planning,Robotics,1,N,
936,CPU_cache,Performance_tuning,1,N,
937,Numerical_analysis,Floating_point,1,N,
938,Software_testing,Programming_language,1,N,
939,Sufficient_statistic,Random_variable,1,N,
940,Database_normalization,Database,1,N,
941,Automatic_programming,Computer_science,1,N,
942,Hidden_Markov_model,Markov_chain,1,N,
943,Spanning_tree,Graph_theory,1,N,
944,Compiler,Computer_programming,1,N,
945,Stack_(abstract_data_type),Array_data_structure,1,N,
946,Assembly_language,Computer,1,N,
947,Memory_hierarchy,Computer_architecture,1,N,
948,Parsing,Formal_grammar,1,N,
949,Routing,Computer_network,1,N,
950,Cryptography,Information_security,1,N,
951,Cryptographic_hash_function,Encryption,1,N,
952,Visualization_(graphics),Mathematics,1,S,
953,Database,Computer_science,1,N,
954,Rendering_(computer_graphics),Mathematics,1,N,
955,Robotics,Software_engineering,1,N,
956,C_(programming_language),Programming_language,1,N,
957,Machine_learning,Algorithm_design,1,N,
958,Lexical_semantics,Semantics,1,N,
959,System_programming,Computer,1,N,
960,C++,Computer_programming,1,N,
961,Statistical_hypothesis_testing,Statistical_inference,1,N,
962,Parallel_computing,Computer_science,1,N,
963,Computational_complexity_theory,Discrete_mathematics,1,N,
964,Inheritance_(object-oriented_programming),Object-oriented_programming,1,N,
965,Amortized_analysis,"Best,_worst_and_average_case",1,N,
966,Mathematical_model,Mathematics,1,N,
967,Database,Computer_science,1,N,
968,Firewall_(computing),Information_security,1,N,
969,Concurrency_control,Computer,1,N,
970,Graphical_model,Probability,1,N,
971,Algorithm,Computing,1,N,
972,Data_structure,Data,1,N,
973,Graphical_model,Scientific_modelling,1,N,
974,Statistical_hypothesis_testing,Random_variable,1,N,
975,Eigenvalues_and_eigenvectors,Matrix_(mathematics),1,N,
976,Bioinformatics,Algorithm,1,N,
977,Random_walk,Markov_chain,1,N,
978,Functional_programming,Variable_(computer_science),1,N,
979,Debugging,Control_flow,1,N,
980,NP-completeness,Computer_science,1,N,
981,Transaction_processing,Database,1,N,
982,Artificial_intelligence,Computational_science,1,N,
983,Statistics,Arithmetic,1,N,
984,Numerical_analysis,Eigenvalues_and_eigenvectors,1,N,
985,Virtual_memory,Operating_system,1,N,
986,Imperative_programming,Programming_language,1,N,
987,Pushdown_automaton,Computer_science,1,N,
988,Context-free_grammar,Computer_science,1,N,
989,Data_type,Programming_language,1,N,
990,Algorithm,Computability,1,N,
991,Software_engineering,Debugging,1,N,
992,Turing_machine,Computer_science,1,N,
993,Programming_language,Computer_programming,1,N,
994,Parallel_computing,Shared_memory,1,N,
995,Numerical_analysis,Approximation,1,N,
996,Software_development,Software_engineering,1,N,
997,Computer_programming,Data_structure,1,N,
998,Abstraction_(computer_science),Computer_programming,1,N,
999,Operating_system,Computer_programming,1,N,
1000,Knowledge_representation_and_reasoning,Algorithm,1,N,
1001,String_(computer_science),Data_(computing),1,N,
1002,Multi-core_processor,Parallel_computing,1,N,
1003,Parsing,Computer_programming,1,N,
1004,Algorithm,Logic,1,N,
1005,Software_engineering,Object-oriented_programming,1,N,
1006,Software_engineering,Programming_language,1,N,
1007,3D_computer_graphics,Algorithm,1,N,
1008,Game_theory,Linear_programming,0,N,
1009,Distributed_computing,Database,0,N,
1010,Software_development,Image_processing,0,N,
1011,Linear_programming,P_versus_NP_problem,0,N,
1012,C_(programming_language),Functional_programming,0,N,
1013,Game_theory,Computational_complexity_theory,0,N,
1014,Image_processing,MATLAB,0,N,
1015,Medicine,Problem_solving,0,N,
1016,Computer_graphics,Artificial_intelligence,0,N,
1017,Functional_programming,Numerical_analysis,0,N,
1018,Data_structure,Numerical_analysis,0,N,
1019,High-level_programming_language,Microprocessor,0,N,
1020,Cache_coherence,Vector_processor,0,N,
1021,Database,Logic_programming,0,N,
1022,Numerical_analysis,Computational_geometry,0,N,
1023,Formal_methods,Concurrency_(computer_science),0,N,
1024,Linguistics,Sequence_alignment,0,N,
1025,Programming_paradigm,Computational_complexity_theory,0,N,
1026,Open_source,Python_(programming_language),0,N,
1027,Information_theory,Computer_architecture,0,N,
1028,Data_model,Communication,0,N,
1029,Machine_learning,Natural_language,0,N,
1030,Computational_chemistry,Software_design,0,N,
1031,Parallel_computing,Automata_theory,0,N,
1032,Parametric_polymorphism,Floating_point,0,N,
1033,Query_optimization,Database_normalization,0,N,
1034,Semantics,Programming_language,0,N,
1035,Complexity,Probability,0,N,
1036,Computer_graphics,Computational_chemistry,0,N,
1037,SQL,Computational_chemistry,0,N,
1038,Knowledge_representation_and_reasoning,Object-oriented_programming,0,N,
1039,Prolog,Procedural_programming,0,N,
1040,Vector_space,Combinatorics,0,N,
1041,Modular_programming,Automatic_programming,0,N,
1042,Programming_style,C_(programming_language),0,N,
1043,Artificial_intelligence,Object-oriented_programming,0,N,
1044,Polymorphism_(computer_science),Floating_point,0,N,
1045,Software_engineering,Mathematical_optimization,0,N,
1046,Combinatorics,Numerical_analysis,0,N,
1047,Software_engineering,Computer_network,0,N,
1048,Number_theory,Procedural_programming,0,N,
1049,Sparse_matrix,Eigenvalues_and_eigenvectors,0,N,
1050,Graph_theory,Game_theory,0,N,
1051,Computer_vision,Multimodal_interaction,0,N,
1052,Amortized_analysis,Hash_table,0,N,
1053,Software_engineering,Compiler,0,N,
1054,Profiling_(computer_programming),Python_(programming_language),0,N,
1055,Data_mining,Compiler,0,N,
1056,Number_theory,Turing_machine,0,N,
1057,System_call,Computing,0,N,
1058,CPU_cache,Instruction_pipelining,0,N,
1059,Concurrency_(computer_science),Formal_methods,0,N,
1060,Machine_learning,Logic_programming,0,N,
1061,Computer_programming,Mathematical_optimization,0,N,
1062,Transaction_processing,Relational_algebra,0,N,
1063,Probability,Computer_science,0,N,
1064,Object-oriented_programming,Analysis_of_algorithms,0,N,
1065,Personal_computer,Computer_programming,0,N,
1066,Functional_programming,Computational_complexity_theory,0,N,
1067,Artificial_intelligence,Functional_programming,0,N,
1068,Simulation,Problem_solving,0,N,
1069,Java_(programming_language),Computer_network,0,N,
1070,Database,Abstraction_(computer_science),0,N,
1071,Object-oriented_programming,Assembly_language,0,N,
1072,Quantum_mechanics,Theoretical_computer_science,0,N,
1073,Debugging,High-level_programming_language,0,N,
1074,Floating_point,Data_structure,0,N,
1075,Automatic_programming,Logic_programming,0,N,
1076,Natural_language_processing,Sequence_alignment,0,N,
1077,Open_source,Personal_computer,0,N,
1078,Parsing,NP-completeness,0,N,
1079,Methodology,Robotics,0,N,
1080,String_(computer_science),Data_(computing),0,N,
1081,Philosophy,Lisp_(programming_language),0,N,
1082,Unix,Compiler,0,N,
1083,Scripting_language,Lisp_(programming_language),0,N,
1084,Calculus,Graph_theory,0,N,
1085,Type_theory,Parsing,0,N,
1086,Game_theory,Graph_theory,0,N,
1087,Distributed_computing,Information_theory,0,N,
1088,Parsing,Software_engineering,0,N,
1089,Cryptography,Traffic_analysis,0,N,
1090,Assembly_language,Abstraction_(computer_science),0,N,
1091,Web_browser,Python_(programming_language),0,N,
1092,Intelligence,Problem_solving,0,N,
1093,Computer_science,Combinatorics,0,N,
1094,Computational_geometry,Concurrency_control,0,N,
1095,Graph_theory,Approximation_algorithm,0,N,
1096,Mathematical_optimization,Computer_programming,0,N,
1097,Software_engineering,Combinatorics,0,N,
1098,Discrete_mathematics,Probability_theory,0,N,
1099,Programming_language,Algorithm,0,N,
1100,Randomized_algorithm,Game_theory,0,N,
1101,Programming_language,Data_(computing),0,N,
1102,Database,Software_design,0,N,
1103,Parallel_computing,Graph_theory,0,N,
1104,Memory_management,C_(programming_language),0,N,
1105,Divide_and_conquer_algorithms,Dynamic_programming,0,N,
1106,Algorithm,Imperative_programming,0,N,
1107,Information_theory,Computer_programming,0,N,
1108,Data_structure,Combinatorics,0,N,
1109,Information_theory,Mathematical_optimization,0,N,
1110,Mathematical_proof,Data,0,N,
1111,Calculus_of_variations,Ordinary_differential_equation,0,N,
1112,Parsing,Propositional_calculus,0,N,
1113,Software_framework,Object-oriented_programming,0,N,
1114,Wavelet,Randomness,0,N,
1115,Data_mining,Computer_vision,0,N,
1116,Numerical_analysis,Object-oriented_programming,0,N,
1117,Programming_paradigm,Automata_theory,0,N,
1118,Higher-order_function,C_(programming_language),0,N,
1119,Number_theory,Functional_programming,0,N,
1120,JavaScript,Python_(programming_language),0,N,
1121,Thread_(computing),String_(computer_science),0,N,
1122,Uncertainty,Physics,0,N,
1123,Programming_language,Concurrent_computing,0,N,
1124,Fourier_analysis,Partial_differential_equation,0,N,
1125,Computer_network,Computer_architecture,0,N,
1126,Data_mining,Database_index,0,N,
1127,Parallel_computing,Instruction_pipelining,0,N,
1128,Digital_electronics,Finite-state_machine,0,N,
1129,Data,C++,0,N,
1130,Functional_programming,Imperative_programming,0,N,
1131,Computational_complexity_theory,Graph_theory,0,N,
1132,Concurrency_control,Combinatorics,0,N,
1133,Unix,Computer_network,0,N,
1134,Computer_science,Mathematical_optimization,0,N,
1135,Programming_language,Infinity,0,N,
1136,Randomized_algorithm,Data_structure,0,N,
1137,Machine_learning,Combinatorics,0,N,
1138,Operating_system,Computational_geometry,0,N,
